time	MetEireann	Belturbet	Clones
2400	4.7	4.933333333	2.3
2403	2.2	4.77	3.7
2406	4.4	2.79	5.5
2409	5.4	8.446666667	9.8
2412	10.5	11.015	8.5
2415	7.8	11.425	5.4
2418	2.7	8.228333333	4.7
2421	0.4	6.245	4.2
2424	0.7	2.913333333	4
2427	5	3.375	5.1
2430	10.5	6.148333333	7.7
2433	12.8	11.16833333	10.5
2436	12.7	12.6	9.2
2439	12.9	13.095	7
2442	11.4	11.64166667	6.8
2445	10.8	11.05	5.6
2448	10.2	10.45833333	5.3
2451	10.2	10.18166667	7.2
2454	10.9	10.84166667	9.4
2457	12.2	12.36333333	10.4
2460	12.6	12.58333333	8.7
2463	9.9	12.475	6.5
2466	8.9	10.41666667	4
2469	8.7	9.413333333	5.6
2472	8.1	9.103333333	6.8
2475	7.6	8.543333333	9.3
2478	9.1	8.36	13
2481	10.4	11.05333333	12.9
2484	11	13.18	13
2487	8.6	11.625	11.3
2490	5.9	8.105	10.8
2493	4.3	6.145	10.9
2496	3.2	5.721666667	10.8
2499	4.5	5.431666667	10.7
2502	9.3	7.58	11.5
2505	11	12.41666667	12
2508	11.8	14.75	10.7
2511	9.9	14.505	8.5
2514	4.9	9.363333333	7.8
2517	2.5	6.795	7.4
2520	-0.2	5.483333333	7.2
2523	2.1	4.833333333	7.8
2526	8.8	7.765	9.3
2529	12.4	10.74166667	13.3
2532	13.3	14.06333333	13.5
2535	10.1	13.29	11.1
2538	6.6	9.898333333	8.9
2541	5.2	7.071666667	6.9
2544	5.7	5.633333333	5.1
2547	7	4.94	8.3
2550	9.4	8.191666667	14.4
2553	10.2	11.35333333	16.8
2556	11	12.66333333	16.2
2559	9.4	12.095	11.6
2562	5.5	9.458333333	9
2565	3.6	6.41	7.9
2568	1.2	5.295	9.7
2571	1	4.36	9.9
2574	9.2	6.933333333	10.3
2577	11.9	12.15166667	11.1
2580	11.8	13.25666667	8.8
2583	9.4	12.37333333	7
2586	5.2	10.20166667	5.7
2589	3	7.265	3.8
2592	5.8	6.39	4
2595	6.6	6.53	4
2598	11.3	8.64	4.3
2601	12.6	13.87666667	7.9
2604	13.3	15.49666667	7
2607	11.6	15.695	6
2610	6.8	11.23666667	4.8
2613	3.4	8.686666667	4.1
2616	0.4	6.841666667	4.4
2619	1.6	4.573333333	5.9
2622	13.8	8.95	8
2625	15.7	15.24	8.3
2628	17	17.595	8.9
2631	14.4	17.79166667	7.3
2634	8.8	13.51	4.6
2637	6.5	9.38	3.5
2640	4.3	7.475	3.4
2643	6.3	5.455	6.6
2646	10.9	7.45	9.8
2649	17.2	13.565	12.8
2652	16.8	18.47333333	13
2655	13.3	18.03166667	10.3
2658	7.9	14.02166667	7.6
2661	4.1	10.92333333	5.8
2664	2.2	8.076666667	6.7
2667	4.7	6.875	7.2
2670	12.7	14.145	10.2
2673	12.3	13.54	8.3
2676	10.6	12.485	4.4
2679	10.5	11.25	7.3
2682	10.1	10.745	6.3
